City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
524,Sao Joao Da Barra,BR,68.54,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
526,Salinopolis,BR,75.56,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
528,Ketchikan,US,61.27,clear sky,55.3422,-131.6461,Snow's Cove Lodge
533,Vavatenina,MG,71.17,overcast clouds,-17.4667,49.2,FARA Jean E. et TOMBO Berthine
534,Portage,US,74.98,clear sky,41.1667,-81.1998,Rocking Horse Inn
542,Puerto Baquerizo Moreno,EC,77.99,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
544,Nauta,PE,76.01,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
546,Mangan,IN,70.92,overcast clouds,27.5167,88.5333,Hotel Mout View
547,Ha Tinh,VN,75.58,few clouds,18.3333,105.9,Phú Quý
550,Siyabuswa,ZA,60.22,clear sky,-25.1132,29.0445,Survivor Africa Game Lodge
552,Duyun,CN,63.36,overcast clouds,26.2667,107.5167,Na Li Guesthouse
556,Horta,PT,63.81,broken clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
559,Tocopilla,CL,65.39,clear sky,-22.092,-70.1979,Hotel Galvarino
561,Buraydah,SA,77.45,clear sky,26.326,43.975,Mövenpick Qassim
562,Mackay,AU,75.18,overcast clouds,-21.15,149.2,International Lodge Motel
565,Port Lincoln,AU,60.35,clear sky,-34.7333,135.8667,Port Lincoln Hotel
569,Praia Da Vitoria,PT,64.65,broken clouds,38.7333,-27.0667,Hotel Branco I
570,Inhambane,MZ,68.23,light rain,-23.865,35.3833,Oceano
571,Koppal,IN,79.07,overcast clouds,15.35,76.15,Hotel B.S.Pawar Grand
577,Winslow,US,78.98,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
578,Berea,US,76.08,broken clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
587,Sorong,ID,77.56,moderate rain,-0.8833,131.25,Waigo Splash Hotel
590,Port Keats,AU,75.15,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
596,Gorontalo,ID,78.53,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
599,Waddan,LY,66.72,scattered clouds,29.1614,16.139,محل الشريف محمد العايب
601,Maracaju,BR,71.42,clear sky,-21.6144,-55.1683,Maracaju Plaza Hotel - Hospedagem - Maracaju/MS
602,Barra Do Garcas,BR,79.63,scattered clouds,-15.89,-52.2567,Pousada Tropical
604,Tabuk,PH,77.59,clear sky,17.4189,121.4443,Golden Berries Hotel and Convention
606,Ales,FR,60.69,few clouds,44.1333,4.0833,ibis Alès Centre-Ville
607,Lang Suan,TH,78.84,light rain,9.9456,99.0785,Langsuan Resort
609,Charleston,US,74.08,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
614,Verona,IT,64.45,few clouds,45.4167,11.0333,Hotel Verona
617,Suleja,NG,76.19,overcast clouds,9.1758,7.1808,Capy Motel
622,Namibe,AO,74.16,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
623,Isabela,PH,77.05,overcast clouds,6.7085,121.9711,Isawad Resort
