City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Saint-Louis,SN,2022-05-04 19:43:13,16.3333,-15.0,89.44,20,5,15.08
104,Vaini,TO,2022-05-04 19:43:13,-21.2,-175.2,73.56,100,40,4.61
105,Port Augusta,AU,2022-05-04 19:43:14,-32.5,137.7667,49.08,74,0,7.0
106,Santa Cruz De La Palma,ES,2022-05-04 19:43:14,28.6835,-17.7642,68.14,64,75,14.97
107,Plettenberg Bay,ZA,2022-05-04 19:43:15,-34.0527,23.3716,62.69,92,62,4.23
108,Evensk,RU,2022-05-04 19:43:15,61.95,159.2333,31.78,90,100,4.74
109,Sarkand,KZ,2022-05-04 19:43:15,45.41,79.9186,61.59,63,100,3.49
110,Necochea,AR,2022-05-04 19:39:46,-38.5473,-58.7368,65.86,49,9,12.91
111,Yenagoa,NG,2022-05-04 19:43:16,4.9247,6.2642,73.81,92,82,1.92
112,Mount Gambier,AU,2022-05-04 19:43:16,-37.8333,140.7667,42.71,100,75,9.22
113,Sechura,PE,2022-05-04 19:43:17,-5.5569,-80.8222,80.17,54,91,12.86
114,Airai,TL,2022-05-04 19:43:17,-8.9266,125.4092,58.96,89,89,2.51
115,Sombrio,BR,2022-05-04 19:43:17,-29.1139,-49.6167,67.93,91,100,14.81
116,Vardo,NO,2022-05-04 19:40:10,70.3705,31.1107,24.78,86,75,17.27
117,Palana,RU,2022-05-04 19:43:18,59.1167,159.9667,28.78,88,100,10.89
118,Castro,BR,2022-05-04 19:43:18,-24.7911,-50.0119,55.9,78,85,9.1
119,Coxim,BR,2022-05-04 19:43:19,-18.5067,-54.76,75.63,31,2,9.93
120,Potsdam,DE,2022-05-04 19:43:19,52.3989,13.0657,61.34,72,76,4.97
121,The Valley,AI,2022-05-04 19:43:19,18.217,-63.0578,85.86,74,40,14.97
122,Padang,ID,2022-05-04 19:43:20,-0.9492,100.3543,77.47,83,100,3.04
123,Namatanai,PG,2022-05-04 19:43:20,-3.6667,152.4333,79.9,84,99,8.68
124,Rasht,IR,2022-05-04 19:43:21,37.2808,49.5832,60.62,100,100,9.22
125,Poso,ID,2022-05-04 19:43:21,-1.3959,120.7524,77.85,86,94,3.69
126,Flinders,AU,2022-05-04 19:41:58,-34.5833,150.8552,63.05,90,91,5.01
127,Coahuayana,MX,2022-05-04 19:43:22,18.7333,-103.6833,90.34,42,86,8.41
128,Ponta Do Sol,PT,2022-05-04 19:43:22,32.6667,-17.1,65.03,58,63,4.23
129,Yarmouth,US,2022-05-04 19:43:22,41.7057,-70.2286,59.14,95,100,6.91
130,Inhambane,MZ,2022-05-04 19:43:23,-23.865,35.3833,69.71,78,79,5.7
131,Synya,RU,2022-05-04 19:43:23,65.3718,58.0387,24.93,80,100,7.74
132,High Level,CA,2022-05-04 19:43:24,58.5169,-117.136,59.11,36,75,11.5
133,Carnarvon,AU,2022-05-04 19:43:24,-24.8667,113.6333,62.67,63,0,8.05
134,Rawson,AR,2022-05-04 19:43:24,-43.3002,-65.1023,69.85,38,100,17.34
135,Nanpiao,CN,2022-05-04 19:43:25,41.0982,120.7479,61.03,45,100,6.4
136,Nikolskoye,RU,2022-05-04 19:44:25,59.7035,30.7861,35.49,73,9,4.45
137,Gimli,CA,2022-05-04 19:43:15,50.6336,-96.9907,52.68,56,23,9.71
138,Mindszent,HU,2022-05-04 19:44:26,46.5236,20.1904,59.18,81,100,6.24
139,Bethel,US,2022-05-04 19:40:05,41.3712,-73.414,61.2,86,100,4.61
140,San Carlos De Bariloche,AR,2022-05-04 19:44:26,-41.1456,-71.3082,58.75,55,75,23.02
141,San Andres,CO,2022-05-04 19:40:13,12.5847,-81.7006,87.82,70,75,13.8
142,Rio Grande,BR,2022-05-04 19:44:27,-32.035,-52.0986,69.91,79,0,11.99
143,Rio Verde De Mato Grosso,BR,2022-05-04 19:44:27,-18.9181,-54.8442,72.1,38,0,8.19
